"","Gene","mean","median","sd","max","Patient_ID","Sample","Tissue","Timepoint","Annotation","BestResponse","Residual"
"MIS18BP1","MIS18BP1",0.917963717,0.59113044,1.05499659560317,6.44517741,0.0119979770017029,0,0,0.000277903958841195,0,0,0.987724119039456
"ANXA1","ANXA1",1.390050129,1.14258665,1.18043076344153,5.87627713,0.0119013047863962,0.00209935676050797,0.00229365244832457,0,0.00309521047479113,0.00000000196249724604952,0.980610473567483
"CDKN1B","CDKN1B",0.877940621,0.70518391,0.862839559540598,5.21800502,0.0117001711795215,0.012249559394773,0.0099883849528344,0.000844004144000321,0.0271826880924915,0.000000000384134376886995,0.938035191852245
"ARID1A","ARID1A",1.043397618,1.00649878,0.9313273333143,5.87627713,0.0116265317869206,0.00000000195211944901627,0.00195320950682776,0,0,0,0.986420256754132
"IL2RB","IL2RB",0.359842049,0,0.900576739236468,6.091899768,0.0116092716718797,0,0.00453346328823247,0.00680503090822576,0.021108447426381,0.000000000870960959966085,0.95594378583432
"ANPEP","ANPEP",0.305636097,0.081244943,0.520926437836153,3.606955032,0.0114152349233461,0,0,0.00961698381547407,0.000000000325944846238251,0.0621363283441463,0.916831452591089
"STAT6","STAT6",1.524931462,1.50463478,1.17290682102933,7.15795999,0.0112957657168724,0.000993169345361886,0,0.000449845148055623,0.00996005840530451,0,0.977301161384406
"CXCL3","CXCL3",0.112256715,0,0.353516012926986,5.210352012,0.0112314851821521,0.00750394818176139,0,0.00531699106102693,0,0.000000000486400722799368,0.975947575088659
"LGR5","LGR5",0.084163501,0,0.323068655043977,5.064916006,0.0111940708428672,0,0,0,0,0,0.988805929157133
"IRF4","IRF4",0.290714088,0.018962631,0.788294683693046,5.908439462,0.0110171653169855,0,0.00205631965169563,0.000252784860477318,0.000000000369055266159357,0.000000000309632480645032,0.986673729492154
"IRF5","IRF5",0.371676667,0.031273393,0.664125941236673,5.370433097,0.0109071506032069,0.0176012879458165,0,0.0000763836673589992,0,0.0519151021443475,0.91950007563927
"C1QC","C1QC",1.051795272,0.244500546,1.62831051160806,6.359774041,0.0108324246680917,0.0227941844642813,0,0.00000000288269780845223,0.00246774147979376,0.0162638580798743,0.947641788425261
"S100A9","S100A9",0.793726971,0.180554401,1.43224967697779,6.6065545,0.0108143640420788,0.0293954218562767,0,0,0.00231550770081509,0.0279771864692191,0.92949751993161
"AXIN2","AXIN2",0.244605338,0.027425954,0.484349187622493,4.269257276,0.0107269683673684,0.00764789100526614,0,0.00000000304391163949268,0,0.000299813238369689,0.981325324345084
"PLA2G7","PLA2G7",0.157538889,0,0.346138268394343,3.826197686,0.0106650085888516,0.0158682495234274,0,0,0,0.0312454129001618,0.942221328987559
"CXCR5","CXCR5",0.063280537,0,0.23707944351246,3.085747503,0.0106173283559433,0,0.00197410052670685,0,0.0208264399785351,0,0.966582131138815
"CST7","CST7",0.185913395,0,0.500560846077866,4.675942847,0.0104786313464386,0,0.000000000756017033951718,0.000000000221002528369392,0.0196998026418713,0.000000000122517992653729,0.969821564912152
"GPR171","GPR171",0.250880495,0,0.606070857643978,4.792019767,0.0103861970618939,0,0.00172829335782782,0.019832536487482,0,0,0.968052973092796
"PAX5","PAX5",0.109862841,0,0.535303485817579,4.952274596,0.0103220746157715,0,0,0.00444015754931468,0.000534255441043844,0.000000000906425709270712,0.984703511487444
"FCGR3A","FCGR3A",0.466319017,0.034060542,0.887499563711561,5.41280088,0.0102391906273221,0.0200027471459919,0,0,0.00000000076549509728647,0.0188244263673191,0.950933635093872
